File_name , Apex_predicted,Total_frame,Emotion
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0316,16,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0090,21,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0135,2,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0317,11,27,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0226,14,19,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0106,13,28,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0269,23,29,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0277,23,36,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0197,4,41,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0218,6,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0178,7,30,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0244,2,20,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0241,15,36,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0167,10,33,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0148,28,43,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0118,3,40,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0268,13,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0225,23,38,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0180,1,34,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0093,35,39,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0279,22,24,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0314,17,29,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0301,6,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0308,8,41,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0262,20,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0254,3,21,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0286,17,39,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0171,6,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0272,32,34,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0198,27,37,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0223,17,21,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0292,12,23,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0159,12,33,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0085,26,31,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0165,19,27,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0158,27,36,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0228,5,31,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0192,26,28,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0130,8,19,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0179,8,31,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0094,5,29,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0295,11,16,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0305,4,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0145,24,30,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0281,9,40,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0345,22,44,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0110,16,32,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0077,17,23,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0287,13,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0119,26,43,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0142,12,45,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0087,25,34,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0235,38,46,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0101,15,33,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0096,13,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0125,20,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0246,4,31,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0193,6,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0134,24,40,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0116,6,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0230,8,20,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0092,19,22,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0184,8,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0265,13,15,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0181,1,36,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0124,9,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0156,41,45,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0195,8,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0257,15,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0073,7,17,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0129,35,38,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0194,14,30,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0204,14,26,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0328,8,21,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0236,17,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0234,29,33,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0216,3,34,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0283,24,33,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0248,10,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0229,16,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0150,5,14,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0311,18,30,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0210,14,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0136,7,20,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0157,14,27,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0255,2,12,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0109,9,20,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0149,4,40,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0170,20,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0211,19,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0309,15,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0258,8,20,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0072,16,30,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0104,13,30,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0227,1,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0293,10,12,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0206,13,25,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0163,16,39,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0105,19,34,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0086,29,33,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0237,17,34,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0312,10,24,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0337,6,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0144,15,32,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0271,3,30,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0213,27,34,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0320,3,18,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0249,11,39,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0260,16,40,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0275,1,20,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0339,23,35,0
/home/drink36/Desktop/Dataset/39K/Face/Action/Happy/0089,28,34,0
